timestamp,facility_nr,collateral_agreement_type,collateral_agreement_id,collateral_amount_hke,haircut,post_haircut_coll_amt,post_ccf_base_amt_fac_level,allocated_collateral_amount
20251124_180702,CLS:1000598111,P001,CLS:180000000000000003287803:1:1,4585916.0,0.4,2751549.6,2590681.92,2751549.6
20251124_180702,CLS:1000609521,P001,CLS:180000000000000003293013:1:1,3195718.0,0.4,1917430.7999999998,2304515.37,1917430.7999999998
20251124_180702,CLS:1000609536,P001,CLS:180000000000000003293025:1:1,4067821.0,0.4,2440692.6,4042562.15,2440692.6
20251124_180702,CLS:1000634582,P001,CLS:180000000000000003304704:1:1,2776739.0,0.4,1666043.4,1702245.81,1666043.4
20251124_180702,CLS:1000638127,G007,CLS:180000000000000003306285:1:0,99999999999.0,0.9,9999999999.899998,2500793.36,9999999999.899998
20251124_180702,CLS:1000638127,P003,CLS:180000000000000003306285:2:1,5308935.0,0.4,3185361.0,2500793.36,3185361.0
20251124_180702,CLS:1000598581,P001,CLS:180000000000000003287995:1:1,2613972.0,0.4,1568383.2,654294.12,1568383.2
20251124_180702,CLS:1000618228,P001,CLS:180000000000000003296524:1:1,5758933.0,0.4,3455359.8,2417543.35,3455359.8
20251124_180702,CLS:1000645832,P001,CLS:180000000000000003309514:2:1,3917098.0,0.4,2350258.8,1356775.98,2350258.8
20251124_180702,CLS:1000645832,G007,CLS:180000000000000003309514:1:0,99999999999.0,0.9,9999999999.899998,1356775.98,9999999999.899998
20251124_180702,CLS:1000598968,P001,CLS:180000000000000003286460:1:1,7044695.0,0.4,4226817.0,3088755.88,4226817.0
20251124_180702,CLS:1000599709,P003,CLS:180000000000000003288105:2:2,13625546.0,0.4,8175327.6,1800000.0,8175327.6
20251124_180702,CLS:1000599709,P001,CLS:180000000000000003288106:2:2,12982314.0,0.4,7789388.399999999,1800000.0,7789388.399999999
20251124_180702,CLS:1000599709,P005,CLS:180000000000000003288106:3:2,1935423.0,0.4,1161253.8,1800000.0,1161253.8
20251124_180702,CLS:1000599709,P001,CLS:180000000000000003288107:2:2,25414650.0,0.4,15248790.0,1800000.0,15248790.0
20251124_180702,CLS:1000599709,G007,CLS:180000000000000003288108:2:0,99999999999.0,0.9,9999999999.899998,1800000.0,9999999999.899998
20251124_180702,CLS:1000598843,P001,CLS:180000000000000003288111:1:1,4203757.0,0.4,2522254.1999999997,1845805.24,2522254.1999999997
