COLLATERAL_AGREEMENT_ID,FACILITY_NR,COLLATERAL_AGREEMENT_TYPE,COLLATERAL_AMOUNT,COLLATERAL_CURRENCY,AS_OF_DT,COMMIT_INDICATOR,CCF,DRAWN_AMOUNT,UNDRAWN_AMOUNT
CLS:180000000000000001020450:7:1,CLS:0001417674,P001,4083649,HKD,31DEC2024:00:00:00,Y,20.0,256750.95,0.0
CLS:180000000000000001020450:8:0,CLS:0001417674,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,256750.95,0.0
CLS:180000000000000001020502:1:1,CLS:0001398595,P001,5965955,HKD,31DEC2024:00:00:00,Y,20.0,1643433.85,0.0
CLS:180000000000000001020502:2:1,CLS:0001398595,P001,7159146,HKD,31DEC2024:00:00:00,Y,20.0,1643433.85,0.0
CLS:180000000000000001020522:1:1,CLS:0001401897,P001,110608171,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001020522:2:0,CLS:0001401897,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001020646:1:1,CLS:0001398599,P001,3995739,HKD,31DEC2024:00:00:00,Y,20.0,408743.58,0.0
CLS:180000000000000001020687:1:1,CLS:0001400724,P001,3410934,HKD,31DEC2024:00:00:00,Y,20.0,319834.0,0.0
CLS:180000000000000001020870:1:1,CLS:0001406429,P001,2716153,HKD,31DEC2024:00:00:00,Y,20.0,210535.59,0.0
CLS:180000000000000001020943:1:1,CLS:0001429023,P001,6790382,HKD,31DEC2024:00:00:00,Y,20.0,291597.67,0.0
CLS:180000000000000001020995:1:1,CLS:0001415570,P001,5254520,HKD,31DEC2024:00:00:00,Y,20.0,192101.56,0.0
CLS:180000000000000001020995:1:1,CLS:0001415569,P001,5254520,HKD,31DEC2024:00:00:00,Y,20.0,597633.96,0.0
CLS:180000000000000001020995:2:0,CLS:0001415569,G007,94650,HKD,31DEC2024:00:00:00,Y,20.0,597633.96,0.0
CLS:180000000000000001021043:1:1,CLS:0001405423,P001,14395611,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001021221:1:1,CLS:0001407745,P001,2987768,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001021221:2:0,CLS:0001407745,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,0.0,0.0
CLS:180000000000000001021221:4:1,CLS:0001429930,P001,3865413,HKD,31DEC2024:00:00:00,Y,20.0,525885.39,0.0
CLS:180000000000000001021221:5:1,CLS:0001429929,P001,3313211,HKD,31DEC2024:00:00:00,Y,20.0,493017.85,0.0
CLS:180000000000000001021221:6:1,CLS:0001429932,P001,3534092,HKD,31DEC2024:00:00:00,Y,20.0,460150.16,0.0
CLS:180000000000000001021221:7:0,CLS:0001429932,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,460150.16,0.0
CLS:180000000000000001021221:7:0,CLS:0001429930,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,525885.39,0.0
CLS:180000000000000001021221:7:0,CLS:0001429929,G007,99999999999,HKD,31DEC2024:00:00:00,Y,20.0,493017.85,0.0
CLS:180000000000000001021241:1:1,CLS:0001407760,P001,2661830,HKD,31DEC2024:00:00:00,Y,20.0,186347.53,0.0
